churned,id,customer_code,co_name,total_spend,week_minus_4,week_minus_3,week_minus_2,last_week,4-3_delta,3-2_delta,2-1_delta
0,1,1826,Hoffman Martinez and Chandler,68567.34,0.81,0.02,0.74,1.45,-0.79,0.72,0.71
0,2,772,Lee Martin and Escobar,74335.27,1.87,1.02,1.29,1.19,-0.85,0.27,-0.1
0,3,479,Hobbs Mcdaniel and Baker,48746.22,1.21,0.7,1.04,2.12,-0.51,0.34,1.08
0,4,1692,Williams-Harris,64416.7,0.75,2.08,2.4,2.02,1.33,0.32,-0.38
0,5,2578,Beck-Snyder,71623.2,2.33,0.66,1.97,1.6,-1.67,1.31,-0.37
0,6,1742,Romero Ltd,70232.26,0.53,0.15,1.35,1.17,-0.38,1.2,-0.18
0,7,1113,Knox and Sons,41159.58,1.29,0.46,2.17,1.77,-0.83,1.71,-0.4
0,8,477,Weber Morrow and Singleton,55440.95,0.9,0.41,0.95,0.29,-0.49,0.54,-0.66
0,9,2650,Snyder Guzman and Archer,46565.56,1.2,0.2,0.61,0.44,-1,0.41,-0.17
0,10,2829,Jackson LLC,42407.84,0.56,2.17,1.86,1.45,1.61,-0.31,-0.41
0,11,453,Gibbs-Williams,51725.68,0.1,2.07,0.78,0.71,1.97,-1.29,-0.07
0,12,1212,Torres PLC,65722.64,1.66,2.21,1.23,0.79,0.55,-0.98,-0.44
0,13,1018,Nelson Inc,45052.57,0.97,2.28,1.46,1.47,1.31,-0.82,0.01
0,14,843,Hebert Group,53722.09,2.38,1.42,1.34,0.23,-0.96,-0.08,-1.11
0,15,525,Lee PLC,59328.08,0.65,0.74,1.9,0.71,0.09,1.16,-1.19
0,16,2746,Parsons Mack and Ramos,71439.96,0.87,1.86,2.32,0.77,0.99,0.46,-1.55
0,17,377,Durham and Sons,67749.02,2.2,1.44,1.88,1.14,-0.76,0.44,-0.74
0,18,2066,Grant LLC,45592.11,1.92,2.01,1.58,0.44,0.09,-0.43,-1.14
0,19,2277,Mitchell Trevino and Garcia,50786.24,2.2,2.45,2.07,2.26,0.25,-0.38,0.19
0,20,1229,Nichols-Sanchez,78490.87,2.12,1.73,1.26,1.2,-0.39,-0.47,-0.06
0,21,255,Brooks-Lopez,40130.34,2.43,0.74,0.88,1.29,-1.69,0.14,0.41
0,22,1327,Guerrero Meadows and Williams,79289.47,0.76,0.26,1.83,1.63,-0.5,1.57,-0.2
0,23,1620,Nicholson-Phillips,41576.36,2.32,0.83,2.14,1.71,-1.49,1.31,-0.43
0,24,2038,Underwood-Torres,76842.37,1.78,0.73,2.23,2.1,-1.05,1.5,-0.13
0,25,2779,Ortiz Hughes and Harvey,64200.5,0.92,0.53,0.58,1.5,-0.39,0.05,0.92
1,26,1070,Chang and Sons,63106.95,2.25,0.1,2.16,1.91,-2.15,2.06,-0.25
0,27,2211,Cummings Erickson and Wilkinson,42364.62,1.19,0.41,0.81,0.36,-0.78,0.4,-0.45
0,28,1489,Edwards-Armstrong,76316.22,1.7,0.39,0.77,0.36,-1.31,0.38,-0.41
0,29,705,Hunter Inc,50546.11,0.3,1.92,0.83,0.08,1.62,-1.09,-0.75
0,30,2619,Dawson Cabrera and Brooks,52057.18,2.03,2.18,2.42,0.69,0.15,0.24,-1.73
0,31,848,Pacheco LLC,43184.02,0.49,0.65,1.35,2.22,0.16,0.7,0.87
0,32,575,Gonzalez and Sons,54620.33,0.49,2.28,2.35,1.56,1.79,0.07,-0.79
0,33,60,Reynolds-Benjamin,66212.82,1.95,0.2,1.63,0.43,-1.75,1.43,-1.2
0,34,213,Anthony PLC,48879.95,0.62,0.81,0.17,2.07,0.19,-0.64,1.9
0,35,1778,Warren-Spence,56199.2,1.84,1.04,1.15,1.09,-0.8,0.11,-0.06
0,36,2310,Price Inc,40908.55,2.4,1.54,0.87,0,-0.86,-0.67,-0.87
0,37,934,Allison Jimenez and Perkins,40796.22,0.51,0.25,1.6,1.18,-0.26,1.35,-0.42
0,38,217,Parker LLC,47640.47,1.42,0.02,0.57,2.15,-1.4,0.55,1.58
0,39,2803,Silva Munoz and Lee,46582.96,0.45,1.87,0.47,0.43,1.42,-1.4,-0.04
0,40,2315,Cooper Hoover and Sanders,74597.65,2.33,0.23,2.4,1.08,-2.1,2.17,-1.32
0,41,769,Bolton Wolfe and Swanson,68714.95,1.11,2.09,1.96,0.75,0.98,-0.13,-1.21
0,42,2514,Hunter Fields and Scott,46619.19,1.02,0.74,1.76,0.32,-0.28,1.02,-1.44
0,43,2891,Davis-Frye,67980,1.81,0.85,0.93,1.12,-0.96,0.08,0.19
0,44,1010,Gonzalez Ltd,62607.96,1.44,0.57,0.97,1.56,-0.87,0.4,0.59
1,45,1759,Burns and Sons,74998.47,0.75,1.84,0.07,1.51,1.09,-1.77,1.44
0,46,2618,Kaufman Group,53610.7,0.03,2.18,1.21,0.89,2.15,-0.97,-0.32
1,47,233,Davis Parker and Valentine,46058.9,0.83,0.73,0.16,1.34,-0.1,-0.57,1.18
0,48,1299,Marshall White and Vincent,65002.58,0.02,1.4,1.25,0.23,1.38,-0.15,-1.02
0,49,2786,Bailey Walker and Patton,67375.66,0.66,2.41,1.43,1.44,1.75,-0.98,0.01
0,50,1067,Mann James and Baker,51640.43,0.28,0.49,1.11,0.24,0.21,0.62,-0.87
0,51,807,Lara-Camacho,62943.75,1.74,0.05,0.98,1.27,-1.69,0.93,0.29
0,52,872,Smith and Sons,54187.75,0.43,0.38,0.8,1.75,-0.05,0.42,0.95
0,53,2627,Howard Brown and Anderson,66344.42,0.71,0.02,2.47,0.41,-0.69,2.45,-2.06
0,54,921,Wagner Hobbs and Cummings,52086.01,0.12,2.35,0.65,0.56,2.23,-1.7,-0.09
0,55,658,Burton-Tate,57323.18,2.29,0.05,0.05,2.29,-2.24,0,2.24
0,56,1699,Williams Diaz and Ross,68007.43,2.36,1.33,0.57,0.2,-1.03,-0.76,-0.37
0,57,1426,White-Travis,40988.41,2.23,1.58,1.91,0.02,-0.65,0.33,-1.89
0,58,919,Turner-Mckee,59025.1,1.73,1.03,1.35,1.9,-0.7,0.32,0.55
0,59,1600,Galloway Inc,79248.48,2.02,1.25,0.26,2.19,-0.77,-0.99,1.93
1,60,617,Church Benitez and Bell,59334.47,1.21,0.11,1.27,1.49,-1.1,1.16,0.22
0,61,138,Clay Ltd,43322.08,1.26,0.08,1.3,2.35,-1.18,1.22,1.05
0,62,1281,Ford-Carson,62577.52,0.96,2.49,1.24,2.05,1.53,-1.25,0.81
0,63,1457,Norris-Mckinney,62047.96,0.71,0.42,2.02,1.31,-0.29,1.6,-0.71
0,64,1351,Miller and Sons,52113.89,1.86,2.18,0.31,1.57,0.32,-1.87,1.26
0,65,1109,Ellis and Sons,79869.91,2.26,0.92,2.14,2.14,-1.34,1.22,0
0,66,1523,Gomez-Hardy,54813.55,1.2,0.82,1.5,0.38,-0.38,0.68,-1.12
0,67,1971,Peters Ltd,51368.92,1.04,0.62,1.22,0.71,-0.42,0.6,-0.51
0,68,307,Ortiz-Wood,57081.59,0.03,1.71,1.28,0.41,1.68,-0.43,-0.87
0,69,1918,Watson-Pittman,72197.83,0.55,1.92,1.31,0.33,1.37,-0.61,-0.98
0,70,1371,Williams-Gonzalez,76352.13,2.07,0.13,0.59,1.17,-1.94,0.46,0.58
0,71,2144,Snyder-Kent,43804.31,1.37,1.22,2.2,2.4,-0.15,0.98,0.2
0,72,229,Powell Holmes and Simmons,71677.58,1.43,1.1,2.45,0.69,-0.33,1.35,-1.76
0,73,1314,Stephens Holloway and Smith,68679.65,2.05,1.17,0.56,0.95,-0.88,-0.61,0.39
0,74,738,Massey-Morrow,62350.73,0.5,2.26,0.23,0.77,1.76,-2.03,0.54
0,75,2473,Horton LLC,65583.26,1.26,2.04,1.71,0.54,0.78,-0.33,-1.17
0,76,2198,Thomas-Oneill,67580.11,0.58,1.09,1.94,0.65,0.51,0.85,-1.29
0,77,163,Collins Harmon and Brown,77199.57,0.71,0.44,2,1.26,-0.27,1.56,-0.74
0,78,970,Wilkerson Jackson and Perry,78647.04,1.9,1.53,2.07,1.5,-0.37,0.54,-0.57
0,79,1242,King James and Carter,70343.78,1.88,2.08,2.33,0.66,0.2,0.25,-1.67
0,80,1307,Miller Inc,61391.28,1.15,0.78,1.95,1.34,-0.37,1.17,-0.61
0,81,2459,Hudson Watkins and Williams,61518.62,0.97,1.47,0.7,1.24,0.5,-0.77,0.54
1,82,1669,Williams-Perez,44721.39,2.11,1.19,0.03,1.96,-0.92,-1.16,1.93
0,83,1746,Rush Williams and Smith,46513.9,0.76,1.77,1.72,1.34,1.01,-0.05,-0.38
0,84,1636,Garcia Ellison and Johnson,52785.67,1.08,0.04,0.77,0.53,-1.04,0.73,-0.24
0,85,2902,Smith Campbell and Paul,55190.8,1.52,0.66,0.24,1.11,-0.86,-0.42,0.87
0,86,1623,Robinson-Warner,45235.41,1.67,0.5,0.66,0.43,-1.17,0.16,-0.23
0,87,874,Smith Anderson and Fernandez,40575.16,0.06,2.43,0.5,2.41,2.37,-1.93,1.91
0,88,2955,Cole Neal and Lopez,78026.3,0.5,1.4,0.02,1.6,0.9,-1.38,1.58
1,89,1726,Byrd Patterson and Porter,77396.55,0.65,1.11,0.19,2.1,0.46,-0.92,1.91
0,90,2971,Christensen Inc,74979.14,0.17,2.34,1.19,1.43,2.17,-1.15,0.24
0,91,1800,Marsh Richards and Erickson,52154.53,1.64,1.08,1.71,0.91,-0.56,0.63,-0.8
0,92,2082,Nicholson Ltd,75572.73,1.14,2.12,0.71,1.88,0.98,-1.41,1.17
0,93,1407,Gordon and Sons,79637.96,1.99,0.95,0.94,0.46,-1.04,-0.01,-0.48
0,94,244,Frederick-Riley,51707.48,0.91,0.67,2.42,0.45,-0.24,1.75,-1.97
0,95,1194,Flores Ltd,70642.93,1.38,1.15,0.22,1.57,-0.23,-0.93,1.35
0,96,1732,Stewart-Clayton,62540.01,2.32,1.12,1.7,1.77,-1.2,0.58,0.07
0,97,695,Hernandez Gonzalez and Mcdaniel,71677.69,2.45,0.02,1.36,0.2,-2.43,1.34,-1.16
1,98,1396,Bailey Inc,78170.43,1.73,0.08,1.56,1.38,-1.65,1.48,-0.18
0,99,1816,Grimes Perez and Dickerson,46913.57,1.96,2.37,1.03,0.39,0.41,-1.34,-0.64
0,100,437,Bradley Roberts and Pham,41168.84,2.4,1.23,1.68,0.75,-1.17,0.45,-0.93
0,101,188,Hamilton Martinez and Wilson,43803.28,1.97,0.76,1.52,2.09,-1.21,0.76,0.57
0,102,285,Sheppard and Sons,62993.61,1.55,0.35,1.9,0.71,-1.2,1.55,-1.19
0,103,1662,Norris Young and Wallace,43884.31,2.19,1.39,1.33,2.28,-0.8,-0.06,0.95
0,104,1486,Richardson-Webb,69044.91,1.44,1.15,1.2,1.93,-0.29,0.05,0.73
0,105,1233,Simpson-Archer,40537.23,1.7,2.15,2.18,0.4,0.45,0.03,-1.78
0,106,2858,Freeman Brooks and Davies,43829.38,0.55,1,1.22,0.86,0.45,0.22,-0.36
1,107,75,Cox-Hines,72149.71,1.36,0.1,0.28,2.24,-1.26,0.18,1.96
