Year,Value,Sector
1949,11.973882,Coal Production
1950,14.060135,Coal Production
1951,14.419325,Coal Production
1952,12.734313,Coal Production
1953,12.277746,Coal Production
1954,10.542448,Coal Production
1955,12.369608,Coal Production
1956,13.306334,Coal Production
1957,13.061393,Coal Production
1958,10.783088,Coal Production
1959,10.777984,Coal Production
1960,10.817398,Coal Production
1961,10.447091,Coal Production
1962,10.90056,Coal Production
1963,11.849229,Coal Production
1964,12.523881,Coal Production
1965,13.055285,Coal Production
1966,13.467679,Coal Production
1967,13.825487,Coal Production
1968,13.608678,Coal Production
1969,13.863346,Coal Production
1970,14.607064,Coal Production
1971,13.185523,Coal Production
1972,14.091685,Coal Production
1973,13.992126,Coal Production
1974,14.074451,Coal Production
1975,14.989315,Coal Production
1976,15.653687,Coal Production
1977,15.754741,Coal Production
1978,14.909809,Coal Production
1979,17.539583,Coal Production
1980,18.597726,Coal Production
1981,18.376773,Coal Production
1982,18.638773,Coal Production
1983,17.246671,Coal Production
1984,19.719216,Coal Production
1985,19.325166,Coal Production
1986,19.509466,Coal Production
1987,20.141104,Coal Production
1988,20.737639,Coal Production
1989,21.360178,Coal Production
1990,22.487548,Coal Production
1991,21.636424,Coal Production
1992,21.694132,Coal Production
1993,20.335654,Coal Production
1994,22.202083,Coal Production
1995,22.12955,Coal Production
1996,22.790148,Coal Production
1997,23.309614,Coal Production
1998,24.045198,Coal Production
1999,23.295084,Coal Production
2000,22.735478,Coal Production
2001,23.54708,Coal Production
2002,22.732237,Coal Production
2003,22.093652,Coal Production
2004,22.852099,Coal Production
2005,23.185189,Coal Production
2006,23.78951,Coal Production
2007,23.492742,Coal Production
2008,23.851368,Coal Production
2009,21.623721,Coal Production
2010,22.038226,Coal Production
2011,22.221407,Coal Production
2012,20.676893,Coal Production
2013,20.001304,Coal Production
2014,20.285705,Coal Production
2015,17.946095,Coal Production
2016,14.667089,Coal Production
2017,15.625377,Coal Production
2018,15.363442,Coal Production
2019,14.255763,Coal Production
2020,10.703214,Coal Production
2021,11.612659,Coal Production
1949,5.377243,Natural Gas (Dry) Production
1950,6.232975,Natural Gas (Dry) Production
1951,7.415733,Natural Gas (Dry) Production
1952,7.963599,Natural Gas (Dry) Production
1953,8.338838,Natural Gas (Dry) Production
1954,8.681785,Natural Gas (Dry) Production
1955,9.344668,Natural Gas (Dry) Production
1956,10.002147,Natural Gas (Dry) Production
1957,10.605254,Natural Gas (Dry) Production
1958,10.942235,Natural Gas (Dry) Production
1959,11.951826,Natural Gas (Dry) Production
1960,12.656133,Natural Gas (Dry) Production
1961,13.104734,Natural Gas (Dry) Production
1962,13.716861,Natural Gas (Dry) Production
1963,14.512781,Natural Gas (Dry) Production
1964,15.298396,Natural Gas (Dry) Production
1965,15.775441,Natural Gas (Dry) Production
1966,17.010742,Natural Gas (Dry) Production
1967,17.943168,Natural Gas (Dry) Production
1968,19.067853,Natural Gas (Dry) Production
1969,20.446462,Natural Gas (Dry) Production
1970,21.66567,Natural Gas (Dry) Production
1971,22.279791,Natural Gas (Dry) Production
1972,22.207545,Natural Gas (Dry) Production
1973,22.187349,Natural Gas (Dry) Production
1974,21.210145,Natural Gas (Dry) Production
1975,19.640343,Natural Gas (Dry) Production
1976,19.480319,Natural Gas (Dry) Production
1977,19.565321,Natural Gas (Dry) Production
1978,19.485219,Natural Gas (Dry) Production
1979,20.076347,Natural Gas (Dry) Production
1980,19.9076,Natural Gas (Dry) Production
1981,19.699155,Natural Gas (Dry) Production
1982,18.319025,Natural Gas (Dry) Production
1983,16.593389,Natural Gas (Dry) Production
1984,18.007933,Natural Gas (Dry) Production
1985,16.98038,Natural Gas (Dry) Production
1986,16.540801,Natural Gas (Dry) Production
1987,17.135819,Natural Gas (Dry) Production
1988,17.598597,Natural Gas (Dry) Production
1989,17.847275,Natural Gas (Dry) Production
1990,18.326155,Natural Gas (Dry) Production
1991,18.228736,Natural Gas (Dry) Production
1992,18.3751,Natural Gas (Dry) Production
1993,18.584037,Natural Gas (Dry) Production
1994,19.348013,Natural Gas (Dry) Production
1995,19.082245,Natural Gas (Dry) Production
1996,19.344268,Natural Gas (Dry) Production
1997,19.393851,Natural Gas (Dry) Production
1998,19.613295,Natural Gas (Dry) Production
1999,19.340703,Natural Gas (Dry) Production
2000,19.661529,Natural Gas (Dry) Production
2001,20.165567,Natural Gas (Dry) Production
2002,19.382055,Natural Gas (Dry) Production
2003,19.633304,Natural Gas (Dry) Production
2004,19.074254,Natural Gas (Dry) Production
2005,18.556015,Natural Gas (Dry) Production
2006,19.021706,Natural Gas (Dry) Production
2007,19.786209,Natural Gas (Dry) Production
2008,20.702884,Natural Gas (Dry) Production
2009,21.13945,Natural Gas (Dry) Production
2010,21.805763,Natural Gas (Dry) Production
2011,23.40572,Natural Gas (Dry) Production
2012,24.610065,Natural Gas (Dry) Production
2013,24.859072,Natural Gas (Dry) Production
2014,26.718073,Natural Gas (Dry) Production
2015,28.066882,Natural Gas (Dry) Production
2016,27.576023,Natural Gas (Dry) Production
2017,28.289335,Natural Gas (Dry) Production
2018,31.882148,Natural Gas (Dry) Production
2019,35.187183,Natural Gas (Dry) Production
2020,34.724219,Natural Gas (Dry) Production
2021,35.407789,Natural Gas (Dry) Production
1949,10.683252,Crude Oil Production
1950,11.446729,Crude Oil Production
1951,13.036724,Crude Oil Production
1952,13.281049,Crude Oil Production
1953,13.671076,Crude Oil Production
1954,13.42693,Crude Oil Production
1955,14.409682,Crude Oil Production
1956,15.180241,Crude Oil Production
1957,15.178026,Crude Oil Production
1958,14.204125,Crude Oil Production
1959,14.932622,Crude Oil Production
1960,14.934611,Crude Oil Production
1961,15.206196,Crude Oil Production
1962,15.521896,Crude Oil Production
1963,15.965793,Crude Oil Production
1964,16.163568,Crude Oil Production
1965,16.521381,Crude Oil Production
1966,17.561025,Crude Oil Production
1967,18.651304,Crude Oil Production
1968,19.308444,Crude Oil Production
1969,19.556156,Crude Oil Production
1970,20.40121,Crude Oil Production
1971,20.032701,Crude Oil Production
1972,20.041134,Crude Oil Production
1973,19.493237,Crude Oil Production
1974,18.574993,Crude Oil Production
1975,17.729318,Crude Oil Production
1976,17.261844,Crude Oil Production
1977,17.453737,Crude Oil Production
1978,18.433653,Crude Oil Production
1979,18.103598,Crude Oil Production
1980,18.248917,Crude Oil Production
1981,18.146019,Crude Oil Production
1982,18.308947,Crude Oil Production
1983,18.391794,Crude Oil Production
1984,18.848237,Crude Oil Production
1985,18.992407,Crude Oil Production
1986,18.375862,Crude Oil Production
1987,17.674787,Crude Oil Production
1988,17.278931,Crude Oil Production
1989,16.116883,Crude Oil Production
1990,15.571185,Crude Oil Production
1991,15.700826,Crude Oil Production
1992,15.222863,Crude Oil Production
1993,14.49439,Crude Oil Production
1994,14.102563,Crude Oil Production
1995,13.886754,Crude Oil Production
1996,13.722899,Crude Oil Production
1997,13.65802,Crude Oil Production
1998,13.23513,Crude Oil Production
1999,12.451046,Crude Oil Production
2000,12.358101,Crude Oil Production
2001,12.281566,Crude Oil Production
2002,12.160213,Crude Oil Production
2003,11.959568,Crude Oil Production
2004,11.550086,Crude Oil Production
2005,10.974152,Crude Oil Production
2006,10.766775,Crude Oil Production
2007,10.741447,Crude Oil Production
2008,10.613302,Crude Oil Production
2009,11.340126,Crude Oil Production
2010,11.610472,Crude Oil Production
2011,12.012295,Crude Oil Production
2012,13.847275,Crude Oil Production
