year,Transportation,Electricity generation,Industry,Agriculture,Commercial,Residential,U.S. territories,Total
1990,1526.43428922,1880.548218031,1652.3613478999994,596.778203669,427.1097945409999,345.070789228,25.147580227,6453.450222815998
1991,1480.3039061,1874.832993905,1625.4612586049993,587.4933791369999,434.321071921,354.689749717,25.83656216,6382.938921544999
1992,1539.8817156500004,1890.103636731,1662.3439916270002,588.3010709819999,429.939069854,361.2220248050001,25.498568981,6497.2900786300015
1993,1576.88769257,1965.5744874939999,1631.9066325749993,616.3677197100002,423.36675759699995,372.612498735,26.679961059,6613.3957497400015
1994,1631.8428603699995,1990.300202279,1657.4775360879999,603.473043843,426.583160216,363.260146626,27.841226751,6700.778176172999
1995,1667.01978058,2006.8774796150005,1675.1339837149994,615.6694674270001,425.6963637,367.523521106,27.443018423,6785.363614565998
1996,1723.24916608,2079.434226859001,1705.045256071,622.907952893,433.307228225,399.45480271300005,27.526948064000003,6990.925580905001
1997,1749.8493305000004,2144.903576613,1705.1727703809995,611.32852074,425.795877424,380.828658835,28.334353760000006,7046.213088253001
1998,1792.2959787999996,2231.4462848340004,1677.7550985020005,618.246993951,400.541005589,346.873253604,27.674773759,7094.833389039
1999,1863.29208779,2244.83709356,1627.052156677,609.2897438719999,396.92650227700005,366.68445838800005,30.058671293000003,7138.140713856999
2000,1913.5507800000007,2351.1256848040007,1616.9912633940005,594.8543001999999,411.19528938699995,387.99253858099996,51.883352825,7327.593209191001
2001,1885.43488639,2311.3870239810003,1569.9098465170002,615.526557184,400.2090783180001,378.076883841,58.618697951,7219.162974182001
2002,1925.98085662,2326.759448741,1550.9615002040002,618.674248245,401.730690967,375.28666894199995,59.763734926000005,7259.157148644998
2003,1933.3267485,2357.952283409,1529.061153405,618.962289822,417.96511742600006,393.72894336900004,62.831546146,7313.828082077
2004,1965.85207445,2390.768613775,1577.9811133639996,631.7226289810002,415.77782772500007,381.852434924,64.492951366,7428.447644584999
2005,1975.49512849,2456.737090173,1536.17641963,626.2532137759999,405.442432139,371.015528678,63.708126393000015,7434.827939279
2006,1975.865365721,2401.2313835510004,1570.6404017170005,625.78650132,391.90176228800004,334.309399965,61.066452356999996,7360.801266919001
2007,1974.42667717,2467.2262387140004,1560.3865690650002,642.7207481660001,405.85600396,355.254855173,57.915315336000006,7463.786407584
2008,1870.906050463,2414.1149456620005,1501.5536457460003,631.0310541360002,413.166511852,363.90698164099996,45.964358839,7240.643548339001
2009,1796.29504802,2198.273321865,1345.92653531,632.8604700980001,416.90378511,354.545147455,42.460418301,6787.264726159
2010,1802.27635119,2313.956992587,1438.7787595470004,641.029259466,419.29031623599997,355.539184171,36.571397667,7007.442260864002
2011,1768.595360133,2211.767282755,1443.335476128,622.717221056,415.067661241,349.09380929199995,34.510308599000005,6845.087119204
2012,1748.9122314259998,2073.785619891,1440.0409681810002,606.4525783820001,396.025010146,306.94312392199987,34.364232051,6606.523763998999
2013,1751.515530644,2092.343183529,1489.5364331930002,645.1572754879999,419.34195977300004,357.731085806,28.868748461,6784.494216894001
2014,1785.4070748499996,2092.5328002630004,1474.5466609880002,654.114339926,429.600525841,378.27699229300003,28.877428378,6843.355822539002
2015,1793.3993682599996,1952.725752764,1464.0178706600002,656.1010385980001,442.084719834,351.469522018,29.207854681,6689.006126814998
2016,1828.04556378,1860.497992131,1424.3552031929996,643.4202707050002,426.906642295,327.812634639,26.832724546999998,6537.871031289998
2017,1845.1626095679999,1780.5520298419995,1446.6871910199993,644.3957277350003,428.486049958,329.880969945,25.81080754,6500.975385608001
2018,1874.726294862,1799.8266478199996,1507.647460377,657.9149823109998,444.23349905,377.368857848,25.794830449000003,6687.512572717
2019,1874.291137594,1650.9614980219994,1521.6659413040002,663.895668824,452.13978837300004,384.178158381,24.593554421999997,6571.7257469199985
2020,1627.618554522,1482.1828648199996,1426.1945364280002,635.1059605840001,425.31251429900004,361.95225684300004,22.987684823000002,5981.354372319001
