county,reported incidents
YELLOWSTONE,10095
MISSOULA,6195
CASCADE,5740
FLATHEAD,3876
GALLATIN,3690
LEWIS AND CLARK,3246
SILVER BOW,2534
LAKE,1385
HILL,1165
RAVALLI,1040
ROOSEVELT,580
CUSTER,499
DEER LODGE,489
PARK,409
RICHLAND,409
LINCOLN,378
GLACIER,325
CARBON,290
JEFFERSON,265
FERGUS,230
BIG HORN,226
VALLEY,224
STILLWATER,205
TOOLE,188
DAWSON,184
POWELL,153
MADISON,152
BROADWATER,145
SANDERS,142
PHILLIPS,141
BEAVERHEAD,129
MUSSELSHELL,112
SWEET GRASS,107
TETON,104
ROSEBUD,99
WHEATLAND,52
FALLON,45
MEAGHER,39
PONDERA,35
SHERIDAN,33
CHOUTEAU,31
GRANITE,25
PRAIRIE,21
GOLDEN VALLEY,18
MCCONE,6
MINERAL,6
WIBAUX,5
GARFIELD,4
POWDER RIVER,3
LIBERTY,1
