DATE,TMAX,TMIN
1950-01-01,25.0,7.0
1950-01-02,18.0,-7.0
1950-01-03,22.0,-12.0
1950-01-04,11.0,-3.0
1950-01-05,9.0,-12.0
1950-01-06,29.0,3.0
1950-01-07,40.0,12.0
1950-01-08,37.0,18.0
1950-01-09,30.0,0.0
1950-01-10,39.0,11.0
1950-01-11,39.0,22.0
1950-01-12,27.0,10.0
1950-01-13,27.0,7.0
1950-01-14,12.0,-10.0
1950-01-15,5.0,-9.0
1950-01-16,12.0,2.0
1950-01-17,10.0,-20.0
1950-01-18,5.0,-19.0
1950-01-19,16.0,-10.0
1950-01-20,34.0,11.0
1950-01-21,41.0,31.0
1950-01-22,43.0,28.0
1950-01-23,43.0,28.0
1950-01-24,35.0,7.0
1950-01-25,13.0,-7.0
1950-01-26,14.0,1.0
1950-01-27,22.0,1.0
1950-01-28,20.0,-15.0
1950-01-29,10.0,-22.0
1950-01-30,0.0,-23.0
1950-01-31,2.0,-26.0
1950-02-01,7.0,-21.0
1950-02-02,6.0,-23.0
1950-02-03,7.0,-24.0
1950-02-04,29.0,-20.0
1950-02-05,37.0,-2.0
1950-02-06,43.0,8.0
1950-02-07,41.0,20.0
1950-02-08,42.0,25.0
1950-02-09,38.0,23.0
1950-02-10,32.0,15.0
1950-02-11,37.0,19.0
1950-02-12,37.0,21.0
1950-02-13,35.0,24.0
1950-02-14,40.0,27.0
1950-02-15,44.0,31.0
1950-02-16,44.0,23.0
1950-02-17,43.0,28.0
1950-02-18,41.0,19.0
1950-02-19,37.0,19.0
1950-02-20,39.0,25.0
1950-02-21,37.0,21.0
1950-02-22,48.0,28.0
1950-02-23,38.0,28.0
1950-02-24,42.0,30.0
1950-02-25,43.0,31.0
1950-02-26,45.0,23.0
1950-02-27,49.0,29.0
1950-02-28,39.0,21.0
1950-03-01,38.0,14.0
1950-03-02,36.0,18.0
1950-03-03,50.0,30.0
1950-03-04,53.0,35.0
1950-03-05,50.0,32.0
1950-03-06,43.0,30.0
1950-03-07,39.0,26.0
1950-03-08,40.0,25.0
1950-03-09,39.0,18.0
