Date,TAVG
1895-01-01,14.7
1895-02-01,20.8
1895-03-01,29.1
1895-04-01,39.7
1895-05-01,45.2
1895-06-01,49.7
1895-07-01,58.6
1895-08-01,58.4
1895-09-01,47.1
1895-10-01,40.5
1895-11-01,28.2
1895-12-01,20.3
1896-01-01,21.5
1896-02-01,27.1
1896-03-01,26.1
1896-04-01,35.8
1896-05-01,41.5
1896-06-01,55.2
1896-07-01,63.1
1896-08-01,58.5
1896-09-01,48.2
1896-10-01,40.8
1896-11-01,23.8
1896-12-01,30.1
1897-01-01,19.0
1897-02-01,21.9
1897-03-01,23.9
1897-04-01,41.7
1897-05-01,54.3
1897-06-01,54.8
1897-07-01,58.1
1897-08-01,63.8
1897-09-01,51.1
1897-10-01,41.3
1897-11-01,28.2
1897-12-01,22.4
1898-01-01,19.1
1898-02-01,30.5
1898-03-01,26.2
1898-04-01,41.9
1898-05-01,48.8
1898-06-01,54.2
1898-07-01,61.2
1898-08-01,64.0
1898-09-01,52.2
1898-10-01,38.1
1898-11-01,27.2
1898-12-01,19.3
1899-01-01,24.0
1899-02-01,12.6
1899-03-01,27.0
1899-04-01,37.8
1899-05-01,44.0
1899-06-01,52.0
1899-07-01,64.3
1899-08-01,56.0
1899-09-01,55.3
1899-10-01,40.1
1899-11-01,36.2
1899-12-01,24.0
1900-01-01,27.0
1900-02-01,22.9
1900-03-01,36.7
1900-04-01,44.5
1900-05-01,49.9
1900-06-01,58.4
1900-07-01,59.9
1900-08-01,56.0
1900-09-01,51.5
1900-10-01,41.6
1900-11-01,25.9
1900-12-01,28.6
1901-01-01,20.7
1901-02-01,20.9
1901-03-01,31.9
1901-04-01,38.6
1901-05-01,52.0
1901-06-01,48.1
1901-07-01,62.9
1901-08-01,62.6
1901-09-01,48.4
1901-10-01,46.1
1901-11-01,33.5
1901-12-01,22.3
1902-01-01,17.7
1902-02-01,25.1
1902-03-01,31.2
1902-04-01,38.4
1902-05-01,48.6
1902-06-01,51.7
1902-07-01,58.9
1902-08-01,60.4
1902-09-01,50.9
1902-10-01,44.1
1902-11-01,30.2
1902-12-01,23.8
1903-01-01,23.8
1903-02-01,19.3
1903-03-01,29.7
1903-04-01,37.4
1903-05-01,45.0
1903-06-01,58.4
1903-07-01,57.3
1903-08-01,59.8
1903-09-01,49.7
1903-10-01,43.6
1903-11-01,25.7
1903-12-01,23.5
1904-01-01,25.7
1904-02-01,23.5
1904-03-01,27.4
1904-04-01,42.4
1904-05-01,46.5
1904-06-01,53.3
1904-07-01,60.8
1904-08-01,60.8
1904-09-01,54.9
1904-10-01,44.5
1904-11-01,36.3
1904-12-01,27.2
1905-01-01,22.8
1905-02-01,18.4
1905-03-01,36.2
1905-04-01,41.1
1905-05-01,45.3
1905-06-01,52.0
1905-07-01,63.0
1905-08-01,61.9
1905-09-01,53.5
1905-10-01,35.6
1905-11-01,28.4
1905-12-01,21.5
1906-01-01,25.4
1906-02-01,26.2
1906-03-01,23.9
1906-04-01,43.7
1906-05-01,47.2
1906-06-01,52.1
1906-07-01,65.7
1906-08-01,60.6
1906-09-01,54.2
1906-10-01,42.0
1906-11-01,28.1
1906-12-01,25.7
1907-01-01,9.6
1907-02-01,24.8
1907-03-01,30.7
1907-04-01,37.1
1907-05-01,45.4
1907-06-01,50.8
1907-07-01,60.0
1907-08-01,56.9
1907-09-01,52.2
1907-10-01,45.5
1907-11-01,33.5
1907-12-01,24.2
1908-01-01,22.4
1908-02-01,25.2
1908-03-01,30.3
1908-04-01,41.1
1908-05-01,45.2
1908-06-01,50.9
1908-07-01,63.7
1908-08-01,58.7
1908-09-01,53.8
1908-10-01,39.7
1908-11-01,32.0
1908-12-01,22.8
1909-01-01,16.1
1909-02-01,27.0
1909-03-01,31.6
1909-04-01,34.4
1909-05-01,43.8
1909-06-01,54.1
1909-07-01,59.0
1909-08-01,59.2
1909-09-01,52.6
1909-10-01,41.7
1909-11-01,32.3
1909-12-01,17.6
1910-01-01,19.4
1910-02-01,16.8
1910-03-01,37.8
1910-04-01,45.9
1910-05-01,49.7
1910-06-01,55.8
1910-07-01,63.9
1910-08-01,56.9
1910-09-01,50.7
1910-10-01,44.4
1910-11-01,31.6
1910-12-01,24.1
1911-01-01,21.8
1911-02-01,20.2
1911-03-01,34.7
1911-04-01,37.4
1911-05-01,44.8
1911-06-01,55.9
1911-07-01,59.4
1911-08-01,57.2
1911-09-01,50.0
1911-10-01,38.6
1911-11-01,25.2
1911-12-01,21.6
1912-01-01,22.8
1912-02-01,28.1
1912-03-01,25.3
1912-04-01,40.1
1912-05-01,46.4
1912-06-01,56.4
1912-07-01,58.3
1912-08-01,57.9
1912-09-01,45.5
1912-10-01,38.6
1912-11-01,32.8
1912-12-01,25.9
1913-01-01,18.7
1913-02-01,15.2
1913-03-01,26.0
1913-04-01,39.2
1913-05-01,46.4
1913-06-01,55.3
1913-07-01,59.6
1913-08-01,61.4
1913-09-01,53.0
1913-10-01,38.5
1913-11-01,32.2
1913-12-01,20.6
1914-01-01,27.9
1914-02-01,21.3
1914-03-01,34.0
1914-04-01,40.0
1914-05-01,49.1
1914-06-01,53.2
1914-07-01,63.7
1914-08-01,60.7
1914-09-01,49.8
1914-10-01,40.9
1914-11-01,32.9
1914-12-01,13.9
1915-01-01,17.3
1915-02-01,27.6
1915-03-01,34.3
1915-04-01,44.6
1915-05-01,46.1
1915-06-01,51.3
1915-07-01,57.0
1915-08-01,65.4
1915-09-01,49.0
1915-10-01,43.0
1915-11-01,28.9
1915-12-01,22.7
1916-01-01,2.3
1916-02-01,22.2
