DATE,temperature,load
2019-01-01,51,1743.76955017301
2019-01-02,38,1970.8693877551016
2019-01-03,41,1968.9277777777784
2019-01-04,39,1909.855172413793
2019-01-05,44,1805.7482758620702
2019-01-06,44,1832.9170138888892
2019-01-07,30,2082.519097222221
2019-01-08,40,1981.4684931506843
2019-01-09,43,2001.4527586206893
2019-01-10,34,2126.965624999999
2019-01-11,28,2194.2815436241603
2019-01-12,26,2123.5388888888874
2019-01-13,29,2069.894482758623
2019-01-14,27,2201.0816326530603
2019-01-15,29,2157.782191780822
2019-01-16,32,2077.653424657534
2019-01-17,31,2192.1836734693875
2019-01-18,33,2087.546180555555
2019-01-19,35,2059.376369863014
2019-01-20,38,2133.794576271188
2019-01-21,12,2391.7064189189214
2019-01-22,19,2324.6790697674433
2019-01-23,34,2120.1135416666675
2019-01-24,47,2038.9878472222217
2019-01-25,36,2061.1810344827577
2019-01-26,29,2016.8618243243247
2019-01-27,37,1959.998972602739
2019-01-28,32,2157.3772413793117
2019-01-29,31,2123.2855172413797
2019-01-30,29,2322.369102990035
2019-01-31,9,2442.379333333333
2019-02-01,16,2329.768750000001
2019-02-02,23,2156.035416666669
2019-02-03,35,1864.814236111111
2019-02-04,40,1849.974999999999
2019-02-05,43,1902.3708904109599
2019-02-06,42,1992.9812499999998
2019-02-07,41,1939.8099999999993
2019-02-08,43,1957.1003389830507
2019-02-09,31,2026.4232638888907
2019-02-10,28,1928.8785467128032
2019-02-11,33,2050.760763888889
2019-02-12,31,2114.903082191781
2019-02-13,37,2015.9665529010233
2019-02-14,37,1982.4555172413793
2019-02-15,43,1889.5989726027399
2019-02-16,42,1864.580555555555
2019-02-17,31,1856.2431506849302
2019-02-18,36,2036.1527586206887
2019-02-19,29,2079.8312499999993
2019-02-20,29,2088.3738831615133
2019-02-21,39,1916.4425170068027
2019-02-22,43,1919.177133105803
2019-02-23,37,1799.154861111111
2019-02-24,42,1779.1325342465757
2019-02-25,41,2066.8367346938767
2019-02-26,31,2095.267931034485
2019-02-27,26,2140.3472222222213
2019-02-28,31,2072.7837931034474
2019-03-01,31,1946.8131034482744
2019-03-02,34,1817.1888888888877
2019-03-03,38,1835.614930555556
2019-03-04,35,2020.1907849829356
2019-03-05,28,2102.366000000001
2019-03-06,24,2146.7780405405406
2019-03-07,25,2149.2686206896565
2019-03-08,29,2041.0755172413822
2019-03-09,38,1840.620205479452
2019-03-10,39,1805.98510638298
2019-03-11,47,1888.8836805555552
2019-03-12,41,1935.6076388888885
2019-03-13,36,1914.434722222222
2019-03-14,44,1792.2965753424664
2019-03-15,49,1693.248620689655
2019-03-16,50,1777.1175675675665
2019-03-17,39,1821.3031250000001
2019-03-18,37,1938.1075342465747
2019-03-19,39,1898.1126279863497
2019-03-20,40,1803.9570469798657
2019-03-21,44,1821.1850694444438
2019-03-22,45,1878.4906896551734
2019-03-23,41,1802.8402777777785
2019-03-24,45,1742.6304794520545
2019-03-25,51,1835.8386206896562
