name,tag,origin
Saiboo,Street,Indian
Merchant,Loop,Generic
Hill,Street,Generic
Ophir,Road,Malay
Buona,Vista Road,Other
Sengkang,Avenue,Chinese
Ang Mo Kio,Avenue,Chinese
Brickland,Road,British
Choa Chu Kang,Road,Chinese
Woodlands,Avenue,Generic
Merpati,Road,Malay
Tractor,Road,Generic
Nanyang,Walk,Chinese
Orchard,Road,Generic
Duchess,Place,British
Kee Sun,Avenue,Chinese
Gul,Avenue,Malay
Harvey,Road,British
Watten,Estate Road,British
Seletar,Expressway,Malay
Sandy,Lane,Generic
Boon Tat,Link,Chinese
Central,Expressway,Generic
Siglap,Lorong,Malay
Gallop,Park,Generic
Malan,Road,British
Binkiang,Lorong,Chinese
Compassvale,Street,Generic
Sims,Avenue,Chinese
Hougang,Avenue,Chinese
Coronation,Drive,British
Serangoon,Road,Malay
Outram,Road,British
Havelock,Road,British
Senoko,Loop,Malay
Keppel,Way,British
Pasir Panjang,Hill,Malay
Sari,Lorong,Malay
Jurong,Street,Malay
Claymore,Hill,British
Tuas,Avenue,Malay
Pandan,Loop,Malay
Redop,Jalan,Malay
Charlton,Road,British
Whampoa,Drive,Chinese
Mount Pleasant,Road,Generic
Pan-Island,Expressway,Generic
Buroh,Jalan,Malay
Moulmein,Road,Other
Mount Vernon,Road,British
Onan,Road,Malay
Tampines,Expressway,Malay
Jurong Town Hall,Road,Malay
Nipah,Jalan,Malay
Bukit Batok,Road,Malay
Clementi,Avenue,British
Sembawang,Road,Malay
Pioneer,Road,British
Petir,Road,Malay
Woodlands,Height,Generic
Yishun,Avenue,Chinese
Waringin,Park,Malay
Fulton,Avenue,British
Senyum,Jalan,Malay
Sunset,Way,Generic
Tuas,Crescent,Malay
Bayfront,Avenue,Generic
Toh,Heights,Chinese
Changi,Road,Malay
Orchard,Link,Generic
Marina Coastal,Drive,Generic
Orchard,Turn,Generic
Bishan,Road,Chinese
Bedok,Road,Malay
Hong San,Walk,Chinese
Sungei Kadut,Avenue,Malay
Sungei Kadut,Way,Malay
Choa Chu Kang,Way,Chinese
Mandai,Road,Malay
Eastwood,Way,British
Admiralty,Road,British
Serangoon,Avenue,Malay
Yishun,,Chinese
Kang Ching,Road,Chinese
Airport,Road,Generic
Boon Lay,Drive,Chinese
Neythal,Road,Indian
Telok,Lorong,Malay
Synagogue,Street,Generic
Defu,Lane,Chinese
Changi,Avenue,Malay
Margate,Road,British
Sampan,Place,Malay
Nicoll,Drive,British
Tay Lian Teck,Road,Chinese
Kew,Avenue,British
Tuas,Link,Malay
Gul,Road,Malay
Kempas,Road,Malay
Balam,Road,Other
Arif,Jalan,Malay
Buangkok,Green,Malay
Tamarind,Road,Generic
Braddell,Road,British
Mandai,Avenue,Malay
Coronation,Walk,British
Empress,Road,British
Singa,Jalan,Malay
Tuas,Circus,Malay
Henderson,Road,British
Tosca,Terrace,Other
Arab,Street,Other
Robertson,Quay,British
West,Coast Green,Generic
Lowland,Road,Generic
Geylang,Road,Malay
Neil,Road,British
North,Bridge Road,Generic
Ubi,Avenue,Malay
Chin Bee,Drive,Chinese
Compassvale,Road,Generic
Holland,Road,British
Balestier,Road,Other
West,Coast Road,Generic
Clementi,Road,British
Victoria,Street,British
Xilin,Avenue,Chinese
Alexandra,Road,British
