name,family,age,sex,survived,death
Antoine,Other,23,Male,0,1846-12-29
Breen_Edward,Breen,13,Male,1,
Breen_Margaret_I,Breen,1,Female,1,
Breen_James,Breen,5,Male,1,
Breen_John,Breen,14,Male,1,
Breen_Mary,Breen,40,Female,1,
Breen_Patrick,Breen,51,Male,1,
Breen_Patrick_Jr,Breen,9,Male,1,
Breen_Peter,Breen,3,Male,1,
Breen_Simon,Breen,8,Male,1,
Burger_Charles,Other,30,Male,0,1846-12-27
Denton_John,Other,28,Male,0,1847-02-26
Dolan_Patrick,Other,40,Male,0,1846-12-27
Donner_Elitha_Cumi,Donner,13,Female,1,
Donner_Eliza_Poor,Donner,3,Female,1,
Donner_Elizabeth,Donner,45,Female,0,1847-03-14
Donner_Francis_E,Donner,6,Female,1,
Donner_George,Donner,62,Male,0,1847-03-18
Donner_George_Jr,Donner,9,Male,1,
Donner_Georgia_Ann,Donner,4,Female,1,
Donner_Isaac,Donner,5,Male,0,1847-03-06
Donner_Jacob,Donner,65,Male,0,1846-12-21
Donner_Leanna,Donner,11,Female,1,
Donner_Lewis,Donner,3,Male,0,1847-02-14
Donner_Mary,Donner,7,Female,1,
Donner_Samuel,Donner,4,Male,0,1846-12-21
Donner_Tamsen,Donner,44,Female,0,1847-03-28
Eddy_Eleanor,Eddy,25,Female,0,1847-02-07
Eddy_James,Eddy,3,Male,0,1847-03-13
Eddy_Margaret,Eddy,1,Female,0,1847-02-04
Eddy_William,Eddy,28,Male,1,
Elliot_Milton,Other,28,Male,0,1847-02-09
Fosdick_Jay,FosdWolf,23,Male,0,1847-01-18
Fosdick_Sarah,FosdWolf,22,Female,1,
Foster_Sarah,MurFosPik,23,Female,1,
Foster_William,MurFosPik,28,Male,1,
Foster_Jeremiah,MurFosPik,1,Male,0,1847-03-13
Graves_Eleanor,Graves,15,Female,1,
Graves_Elizabeth,Graves,1,Female,1,
Graves_Elizabeth_C,Graves,47,Female,0,1847-03-12
Graves_Franklin_W,Graves,57,Male,0,1846-12-27
Graves_Franklin_W_J,Graves,5,Male,0,1847-03-12
Graves_Jonathan,Graves,7,Male,1,
Graves_Lovina,Graves,12,Female,1,
Graves_Mary_Ann,Graves,20,Female,1,
Graves_Nancy,Graves,9,Female,1,
Graves_William,Graves,18,Male,1,
Halloran_Luke,Other,25,Male,0,1846-08-25
Hardkoop_Mr,Other,60,Male,0,1846-10-10
Herron_William,Other,25,Male,1,
Hook_William,Other,12,Male,0,1847-02-28
Hook_Solomon,Other,14,Male,1,
James_Noah,Other,20,Male,1,
Keseberg_Ada,Keseberg,3,Female,0,1847-02-25
Keseberg_Lewis,Keseberg,32,Male,1,
Keseberg_Lewis_Jr,Keseberg,1,Male,0,1847-01-24
Keseberg_Phillipine,Keseberg,32,Female,1,
Keyes_Sarah,Reed,70,Female,0,1846-05-29
Luis,Other,27,Male,0,1847-01-18
McCutchen_Almanda,McCutchen,24,Female,1,
McCutchen_William,McCutchen,30,Male,1,
McCutchen_Harriet,McCutchen,1,Female,0,1847-02-02
Miller_Hiram_O,Other,30,Male,1,
Murphy_John_Landrum,MurFosPik,15,Male,0,1847-01-31
Murphy_Lavina,MurFosPik,36,Female,0,1847-03-12
Murphy_Lemuel,MurFosPik,12,Male,0,1846-12-27
Murphy_Mary_M,MurFosPik,14,Female,1,
Murphy_Simon_Peter,MurFosPik,8,Male,1,
Pike_Catherine,MurFosPik,1,Female,0,1847-02-20
Pike_Harriet,MurFosPik,21,Female,1,
Pike_Naomi,MurFosPik,2,Female,1,
Pike_William,MurFosPik,25,Male,0,1846-10-20
Reed_James,Reed,46,Male,1,
Reed_James_Jr,Reed,6,Male,1,
Reed_Margaret,Reed,32,Female,1,
Reed_Martha_Jane,Reed,9,Female,1,
Reed_Thomas_Keyes,Reed,4,Male,1,
Reed_Virginia_E,Reed,13,Female,1,
Reinhardt_Joseph,Other,30,Male,0,1846-12-21
Salvador,Other,23,Male,0,1847-01-18
Shoemaker_Samuel,Other,25,Male,0,1846-12-21
Smith_James,Other,25,Male,0,1846-12-21
Snyder_John,Other,25,Male,0,1846-10-05
Spitzer_Augustus,Other,30,Male,0,1847-02-08
Stanton_Charles,Other,35,Male,0,1846-12-23
Trubode_Jean_B,Other,23,Male,1,
Williams_Baylis,Other,24,Male,0,1846-12-15
Williams_Eliza,Other,25,Female,1,
Wolfinger_Doris,FosdWolf,20,Female,1,
Wolfinger_Mr,FosdWolf,24,Male,0,1846-10-08
